,AADI,ADMR,ADRO,AKRA,ANTM,BBRI,BMRI,BRPT,BUMI,EMTK,INKP,ISAT,JPFA,MAPI,MDKA,MEDC,NCKL,SCMA,TLKM,UNVR
AADI,0.0010935682178118112,0.0005573210885605875,0.0004915852008377153,0.0002507508793282488,0.00018197496156913123,0.00013154976143829708,0.00015975624562321417,0.00010232981357452965,0.0004713829266481295,0.00025291285226236473,0.00023277305411067645,0.0002050720620045846,0.00011751803696038112,0.00018049061182213015,0.0002759591024234057,0.00012847528246227673,0.00024285891543241548,0.00032004382902079504,0.00012171468756895665,0.0001702019710586666
ADMR,0.0005573210885605875,0.0014338229656627559,0.0006323834269788259,0.00028598075447032885,0.0004904280664549876,0.000162405563001793,0.00017081745021049177,0.0002581909663351292,0.0004867830304177137,0.00022391339645057515,0.0005043032136923244,0.00038433298352437656,7.192418949064416e-05,0.000261030554153104,0.0006072919310139516,0.0002880609117416365,0.0005394645787544363,0.00030299201434646496,0.00022412195599181615,0.0002640714197383335
ADRO,0.0004915852008377153,0.0006323834269788259,0.000777432249089421,0.00017119344303089762,0.0002830371226261455,0.0001768490562395233,0.00021742757219040917,0.0001808833953498564,0.0002824594282815758,0.00012113700633036087,0.0002650682712517114,0.0002756412039087384,9.51453253192496e-05,0.0001621386361292536,0.0004023027506289189,0.0001512830627399659,0.0003211270189198695,0.00020083439923904698,0.0001769718809923478,0.00010990730186723834
AKRA,0.0002507508793282488,0.00028598075447032885,0.00017119344303089762,0.0008641731711023212,0.0002844867187195064,0.00017739851910056597,0.00017911838593525983,0.00017195281128387437,0.00035641777926094856,0.0001475505474380583,0.0002627773075809263,0.00017917117082490017,0.00013664293008986035,0.0003087382326576559,0.0003619910906397153,0.00024280657110292315,0.00024178717618394217,0.00023432335904597442,0.00015461406041468974,0.00021415624126870422
ANTM,0.00018197496156913123,0.0004904280664549876,0.0002830371226261455,0.0002844867187195064,0.0012546928202024669,7.661960678518214e-05,8.191945720526857e-05,0.00028752836374863587,0.0004238849343096494,0.00021811257765905935,0.0003729998685734346,0.00025048016498456364,4.4123767086642325e-05,0.0001778655310145614,0.0008784776077614124,0.00028592743429652637,0.0005593705571573432,0.0002777383019457874,0.00013774558887948255,0.0001545213892030136
BBRI,0.00013154976143829708,0.000162405563001793,0.0001768490562395233,0.00017739851910056597,7.661960678518214e-05,0.0004792724018102121,0.0003618483908125018,0.00020554715647658453,0.00014197935476740686,0.00020129466741846997,0.00021770232133318118,0.00024742521858836427,0.00012655816882473108,0.00020010078547756752,0.00015354270828148392,7.027982164577893e-05,0.00015317559886517053,0.00015084096260389981,0.0001837309180701801,0.00021353921300691783
BMRI,0.00015975624562321417,0.00017081745021049177,0.00021742757219040917,0.00017911838593525983,8.191945720526857e-05,0.0003618483908125018,0.0005155855608420681,0.00019927702676352085,0.00021419520368223203,0.00025633294379709843,0.00022120714304798907,0.00032039505881500686,0.00010764740450394158,0.00020435654195669517,0.00023364924888380137,0.00010084909045941076,0.0001739402357808323,0.00015687145106030515,0.00024060561284928265,0.0002248638679542928
BRPT,0.00010232981357452965,0.0002581909663351292,0.0001808833953498564,0.00017195281128387437,0.00028752836374863587,0.00020554715647658453,0.00019927702676352085,0.0018816420694917329,0.0007483095864720666,0.0006801215670918008,0.00037982061088235816,0.00028076899403744294,0.00019097610253707885,0.00034198326045971165,0.0004743420378430699,0.00016823725095069556,0.0003473646915321671,0.0006195409185004563,0.00021905083232799294,0.00017391925901369748
BUMI,0.0004713829266481295,0.0004867830304177137,0.0002824594282815758,0.00035641777926094856,0.0004238849343096494,0.00014197935476740686,0.00021419520368223203,0.0007483095864720666,0.002518867953932667,0.000763232313975997,0.0005055961444112191,0.000402281189501011,0.00032470822879052065,0.0003011347268191509,0.0006019596210510823,0.00016334201573795984,0.0005342983085673145,0.0008389142709501731,0.00029174170424701556,0.0002047224204822101
EMTK,0.00025291285226236473,0.00022391339645057515,0.00012113700633036087,0.0001475505474380583,0.00021811257765905935,0.00020129466741846997,0.00025633294379709843,0.0006801215670918008,0.000763232313975997,0.002068466670959856,0.0004805812993911391,0.0002420024102653451,0.00023293175281539446,0.00029180461724472706,0.0004824773971727561,7.805167448044779e-05,0.0005238765939002944,0.0014358840507961374,0.0002921802453869185,0.00029071402802134644
INKP,0.00023277305411067645,0.0005043032136923244,0.0002650682712517114,0.0002627773075809263,0.0003729998685734346,0.00021770232133318118,0.00022120714304798907,0.00037982061088235816,0.0005055961444112191,0.0004805812993911391,0.0011722141871072774,0.00034143827793204663,0.0002324369160228072,0.0002746069534723541,0.0006100261921399845,0.0001977087340368111,0.0005079619110585729,0.0005228154438948162,0.00023026246068890032,0.0003438672489363776
ISAT,0.0002050720620045846,0.00038433298352437656,0.0002756412039087384,0.00017917117082490017,0.00025048016498456364,0.00024742521858836427,0.00032039505881500686,0.00028076899403744294,0.000402281189501011,0.0002420024102653451,0.00034143827793204663,0.001178510324870608,0.00016375929176145804,0.00026323942578627285,0.00032214587875551825,9.682673208978049e-05,0.00023639884577044939,0.0002594135481602602,0.0004345739331135945,0.00022365644602214058
JPFA,0.00011751803696038112,7.192418949064416e-05,9.51453253192496e-05,0.00013664293008986035,4.4123767086642325e-05,0.00012655816882473108,0.00010764740450394158,0.00019097610253707885,0.00032470822879052065,0.00023293175281539446,0.0002324369160228072,0.00016375929176145804,0.0009021349969149125,0.00013268773296306336,0.00026498028209578586,9.20312479980741e-05,0.00016112742926918026,0.00031568788047245654,7.96830884508214e-05,0.00015572570038909113
MAPI,0.00018049061182213015,0.000261030554153104,0.0001621386361292536,0.0003087382326576559,0.0001778655310145614,0.00020010078547756752,0.00020435654195669517,0.00034198326045971165,0.0003011347268191509,0.00029180461724472706,0.0002746069534723541,0.00026323942578627285,0.00013268773296306336,0.000967192751544244,0.0002785922966783812,8.08134432753382e-05,0.0003420107131623993,0.0002616178403629943,0.00019304926517329547,0.0002097186294335642
MDKA,0.0002759591024234057,0.0006072919310139516,0.0004023027506289189,0.0003619910906397153,0.0008784776077614124,0.00015354270828148392,0.00023364924888380137,0.0004743420378430699,0.0006019596210510823,0.0004824773971727561,0.0006100261921399845,0.00032214587875551825,0.00026498028209578586,0.0002785922966783812,0.001957086567382891,0.00042005913106505635,0.000710494513195002,0.000615565354469374,0.00015699939750618496,0.00036159418059018546
MEDC,0.00012847528246227673,0.0002880609117416365,0.0001512830627399659,0.00024280657110292315,0.00028592743429652637,7.027982164577893e-05,0.00010084909045941076,0.00016823725095069556,0.00016334201573795984,7.805167448044779e-05,0.0001977087340368111,9.682673208978049e-05,9.20312479980741e-05,8.08134432753382e-05,0.00042005913106505635,0.0007486921385294284,0.000162601780049678,7.234498461219542e-05,9.799233813268794e-05,5.472248564070941e-05
NCKL,0.00024285891543241548,0.0005394645787544363,0.0003211270189198695,0.00024178717618394217,0.0005593705571573432,0.00015317559886517053,0.0001739402357808323,0.0003473646915321671,0.0005342983085673145,0.0005238765939002944,0.0005079619110585729,0.00023639884577044939,0.00016112742926918026,0.0003420107131623993,0.000710494513195002,0.000162601780049678,0.00124562587803487,0.00047049308613225757,0.00017344698192587208,0.00031979637097553063
SCMA,0.00032004382902079504,0.00030299201434646496,0.00020083439923904698,0.00023432335904597442,0.0002777383019457874,0.00015084096260389981,0.00015687145106030515,0.0006195409185004563,0.0008389142709501731,0.0014358840507961374,0.0005228154438948162,0.0002594135481602602,0.00031568788047245654,0.0002616178403629943,0.000615565354469374,7.234498461219542e-05,0.00047049308613225757,0.0020682095225181135,0.0002030499104966002,0.00029347235057364246
