,count,mean,std,min,25%,50%,75%,max,variance,skewness,median,mode
AADI,305.0,0.0020534423307892917,0.033069142985747486,-0.12644115525452845,-0.014337174375808349,-0.0028369131573582305,0.016313622458996868,0.18169476089347592,0.0010935682178118123,1.135006719304722,-0.0028369131573582305,0.0
ADMR,305.0,0.0015524021608251922,0.037865854878277296,-0.130361834075238,-0.020101179321087265,0.0,0.01826534797729319,0.22223816419939718,0.0014338229656627563,1.1254993171199776,0.0,0.0
ADRO,305.0,0.0010337458806592068,0.02788247207636763,-0.11473887464182787,-0.01626052087178029,0.0,0.012685159527315642,0.1529076512232864,0.0007774322490894205,1.120658953206194,0.0,0.0
AKRA,305.0,0.0005201000942339068,0.02939682246608162,-0.12121353129188993,-0.013667638728663757,0.0,0.015504186535965254,0.2006707421330491,0.0008641731711023212,0.7835230209494598,0.0,0.0
AMMN,305.0,-0.002201298146319953,0.04181619488200348,-0.16019963970668394,-0.021220955482885422,0.0,0.02092752010595582,0.149898370088728,0.001748594154409694,-0.38652060163904733,0.0,0.0
AMRT,305.0,-0.002433218129785095,0.02811267620359415,-0.09343400604747876,-0.017937700686667318,-0.0034305350967892482,0.012685159527315642,0.10100318211028274,0.0007903225633281288,0.13551235107209958,-0.0034305350967892482,0.0
ANTM,305.0,0.0029592703873391225,0.03542164338652946,-0.15517052042120086,-0.016474837203505097,0.003220614700042157,0.023689771122404665,0.10969891725642453,0.0012546928202024658,-0.20691239689204047,0.003220614700042157,0.0
ASII,305.0,0.0009256025580745121,0.022713923147686367,-0.09737416402517636,-0.011385322225125352,0.0,0.011928570865273812,0.12921173148000625,0.0005159223047590026,0.34138629311955326,0.0,0.0
BBCA,305.0,-0.0012572400994071819,0.017938964253067815,-0.08915270465469065,-0.011940496510725927,-0.0026844586602920435,0.008253053230412753,0.07342743857608235,0.00032180643847284495,0.07294318291174824,-0.0026844586602920435,0.0
BBNI,305.0,-0.0001835225276280185,0.022370915424600426,-0.07902198545298995,-0.012210205826266897,-0.002317506118236167,0.008264557473358069,0.08594241585139084,0.0005004578569346253,0.5075648362921225,-0.002317506118236167,0.0
BBRI,305.0,-0.0003650412673436469,0.021892290921925284,-0.1067332339248885,-0.01212145696534411,-0.0023781704269001647,0.009345898638468967,0.08825074039030542,0.0004792724018102122,0.07360931045277795,-0.0023781704269001647,0.0
BBTN,305.0,0.0003446699581226531,0.027371192529467927,-0.10275973395776894,-0.01373019281190202,-0.003913899321136329,0.011741817876683195,0.09487923819024349,0.0007491821804852008,0.48240597312676997,-0.003913899321136329,0.0
BMRI,305.0,-0.000501734305327196,0.022706509217448365,-0.10749953336144868,-0.012320614309998403,-0.002006018726865743,0.009950330853168092,0.0829596362406493,0.0005155855608420676,-0.020095873497286865,-0.002006018726865743,0.0
BREN,305.0,-0.0010303614844537016,0.04007691832782607,-0.2224315541321201,-0.016854331554982074,-0.0026917916657114146,0.01522180009684854,0.17958557697507987,0.0016061593826552408,-0.12568976913844154,-0.0026917916657114146,0.0
BRPT,305.0,0.0011729496231754036,0.04337789839874368,-0.16822779371809501,-0.02030526616074557,0.0,0.021506205220963682,0.1574674324532523,0.0018816420694917299,0.009762128583146472,0.0,0.0
BUMI,305.0,0.0015936428398084985,0.05018832487673472,-0.16211884947643523,-0.025533302005164762,0.0,0.018868484304382736,0.27763173659827955,0.002518867953932669,0.8586368432516251,0.0,0.0
CPIN,305.0,-0.0006039814434299233,0.023448767744016656,-0.0980474172212545,-0.012145898302108115,0.0,0.01044941587434114,0.11726124282193137,0.000549844708712836,0.10263451012436,0.0,0.0
CTRA,305.0,-0.001466748042415731,0.024058236052270816,-0.08701137105582717,-0.016172859245600957,0.0,0.010989121575595165,0.07654007187560366,0.0005787987219467833,0.3375610433305292,0.0,0.0
