No,Saham,Model,k,alpha,beta,gamma
1,AADI,Burr (4P),0.56587,102.79,1.2798,-1.2917
2,ADMR,Burr (4P),0.57559,90.493,1.3232,-1.3374
3,ADRO,Log-Logistic,,15.305,0.20983,-0.21107
4,AKRA,Burr (4P),0.79324,319.99,4.2634,-4.268
5,AMMN,Log-Logistic,,2.04E+08,4.45E+06,-4.45E+06
6,AMRT,Log-Logistic,,51.438,0.78138,-0.78437
7,ANTM,Log-Logistic,,7.85E+06,1.51E+05,-1.51E+05
8,ASII,Burr (4P),0.75371,1.02E+08,1.04E+06,-1.04E+06
9,BBCA,Burr (4P),0.7558,1.09E+06,9442.7,-9442.7
10,BBNI,Burr (4P),0.5729,29438,268.28,-268.29
11,BBRI,Burr (4P),0.65518,1.22E+06,11358,-11358
12,BBTN,Burr (4P),0.51255,1.74E+07,1.79E+05,-1.79E+05
13,BMRI,Burr (4P),0.85464,25621,292.04,-292.04
14,BREN,Burr (4P),0.72087,5.28E+07,8.78E+05,-8.78E+05
15,BRPT,Log-Logistic,,112.38,2.5176,-2.5171
16,BUMI,Burr (4P),0.60641,333.25,6.7335,-6.7506
17,CPIN,Log-Logistic,,329.62,3.8861,-3.8867
18,CTRA,Log-Logistic,,23.096,0.30015,-0.30263
19,DSSA,Log-Logistic,,8.81E+05,18517,-18517
20,EMTK,Burr (4P),0.67004,4.65E+07,9.27E+05,-9.27E+05
21,EXCL,Burr (4P),0.76768,1391.1,17.664,-17.669
22,GOTO,Burr (4P),0.41837,2699.5,27.293,-27.313
23,HEAL,Burr (4P),0.83904,15350,177.06,-177.07
24,ICBP,Burr (4P),0.86536,2577,24.365,-24.369
25,INCO,Burr (4P),0.7677,82434,1563.9,-1564
26,INDF,Log-Logistic,,1.61E+08,1.66E+06,-1.66E+06
27,INKP,Burr (4P),0.75722,1.95E+08,3.01E+06,-3.01E+06
28,ISAT,Log-Logistic,,4.62E+07,8.14E+05,-8.14E+05
29,ITMG,Log-Logistic,,75.349,0.52971,-0.52916
30,JPFA,Burr (4P),0.65481,118.91,1.6215,-1.6312
31,KLBF,Burr (4P),2.5346,4.7915,0.12051,-0.09749
32,MAPI,Burr (4P),0.77299,9.61E+05,13928,-13928
33,MBMA,Burr (4P),0.4774,152.14,2.5621,-2.5869
34,MDKA,Burr (4P),0.89976,419.88,9.5732,-9.5757
35,MEDC,Log-Logistic,,20.192,0.29354,-0.29292
36,NCKL,Burr (4P),0.67006,1.36E+05,2179.4,-2179.4
37,PGAS,Log-Logistic,,2.79E+08,3.18E+06,-3.18E+06
38,PGEO,Log-Logistic,,11.491,0.18454,-0.18722
39,PTBA,Burr (4P),0.62903,144.82,0.93657,-0.94125
40,SCMA,Burr (4P),0.57092,6.63E+06,1.19E+05,-1.19E+05
41,SMGR,Burr (4P),0.66118,3577.3,51.108,-51.12
42,TLKM,Burr (4P),0.85804,15606,199.69,-199.69
43,TOWR,Burr (4P),0.7343,57.334,0.71965,-0.728
44,UNTR,Burr (4P),1.1526,4.53E+05,5529.6,-5529.6
45,UNVR,Burr (4P),0.66298,7.59E+06,1.15E+05,-1.15E+05
