No,Saham,Expected Return,Varian Return
1,AADI,0.0021370790885533175,0.0009106243967775818
2,ADMR,0.0017758915007772824,0.0012358592064263263
3,ADRO,0.00024077301373356952,0.0006378791549024623
4,AKRA,0.0008615311606963161,0.0007086087769927474
5,ANTM,3.987224772572517e-09,0.0012252070469287446
6,BBRI,0.007231042023704504,0.0004157125949859619
7,BMRI,0.003059859123197839,0.00048378168139606714
8,BRPT,0.000827941793128506,0.0016520485633581992
9,BUMI,0.0020849367821842435,0.0021516892635204954
10,EMTK,0.0145673593506217,0.001953125
11,INKP,0.00757022388279438,0.01171875
12,ISAT,9.313225746154785e-10,0.00044137760113471813
13,JPFA,0.0012200038783736211,0.0009133424552674185
14,MAPI,0.0065447409524495015,0.0008550286293029785
15,MDKA,0.0016601128141218169,0.0018575411000938402
16,MEDC,0.0018076405670551798,0.0007077627786220176
17,NCKL,0.011709203050486394,0.001202855259180069
18,SCMA,0.01926905424625147,0.0018024444580078125
19,TLKM,0.003345393864321977,0.0006076274075894617
20,UNVR,0.011399470196920447,0.0010967254638671875
