Percobaan,Iterasi,mupt,sigmapt,varpt,Sharpe Ratio,Waktu (s)
1,151,0.0121612558,0.0218907753,0.000479206,0.5555424877,0.48
2,106,0.0121612544,0.0218907729,0.0004792059,0.5555424892,0.32
3,203,0.012161258,0.0218907794,0.0004792062,0.5555424851,0.61
4,212,0.0121612558,0.0218907753,0.000479206,0.5555424877,0.65
5,153,0.0121612529,0.0218907699,0.0004792058,0.555542491,0.49
6,215,0.0121612562,0.0218907762,0.0004792061,0.5555424871,0.63
7,200,0.0121276801,0.0218266046,0.0004764007,0.5556375061,0.65
8,141,0.0121612582,0.0218907799,0.0004792062,0.5555424848,0.41
9,294,0.0121276728,0.021826591,0.0004764001,0.5556375157,0.94
10,248,0.0121612554,0.0218907747,0.000479206,0.5555424881,0.82
11,115,0.0121612534,0.021890771,0.0004792059,0.5555424904,0.41
12,147,0.0121276748,0.0218265947,0.0004764002,0.555637513,0.56
13,246,0.0121276761,0.0218265972,0.0004764003,0.5556375113,0.99
14,114,0.0121612587,0.0218907808,0.0004792063,0.5555424843,0.43
15,278,0.0121612557,0.0218907753,0.000479206,0.5555424877,0.98
16,278,0.0121612565,0.0218907767,0.0004792061,0.5555424868,1.02
17,482,0.0121276767,0.0218265982,0.0004764004,0.5556375106,1.76
18,111,0.0121276765,0.0218265979,0.0004764004,0.5556375108,0.42
19,341,0.0121276765,0.0218265978,0.0004764004,0.5556375108,1.24
20,99,0.0121612564,0.0218907765,0.0004792061,0.5555424869,0.31
21,168,0.0121612561,0.0218907759,0.0004792061,0.5555424873,0.5
22,143,0.0121612566,0.0218907769,0.0004792061,0.5555424867,0.53
23,222,0.0121612543,0.0218907726,0.0004792059,0.5555424894,0.77
24,182,0.0121276743,0.0218265938,0.0004764002,0.5556375137,0.68
25,215,0.0121276759,0.0218265967,0.0004764003,0.5556375116,0.74
26,101,0.0121612438,0.0218907532,0.0004792051,0.5555425015,0.3
27,313,0.0121612557,0.0218907752,0.000479206,0.5555424877,1.08
28,173,0.0121612557,0.0218907751,0.000479206,0.5555424878,0.58
29,199,0.0121276566,0.0218265609,0.0004763988,0.5556375368,0.6
30,455,0.012161256,0.0218907757,0.0004792061,0.5555424875,1.44
31,275,0.0121612559,0.0218907756,0.0004792061,0.5555424875,0.88
32,147,0.0121612515,0.0218907675,0.0004792057,0.5555424926,0.44
33,530,0.0121276762,0.0218265973,0.0004764004,0.5556375112,1.57
34,398,0.0121276765,0.0218265979,0.0004764004,0.5556375108,1.22
35,113,0.0121612556,0.0218907751,0.000479206,0.5555424878,0.37
36,143,0.0121612532,0.0218907706,0.0004792058,0.5555424906,0.45
37,176,0.0121276747,0.0218265945,0.0004764002,0.5556375132,0.55
38,312,0.0121276755,0.0218265961,0.0004764003,0.5556375121,0.95
39,110,0.0121612523,0.0218907689,0.0004792058,0.5555424917,0.33
40,166,0.0121612525,0.0218907693,0.0004792058,0.5555424914,0.52
41,179,0.0121276774,0.0218265996,0.0004764004,0.5556375096,0.54
42,217,0.0121276784,0.0218266014,0.0004764005,0.5556375083,0.69
43,231,0.0121276782,0.021826601,0.0004764005,0.5556375086,0.7
44,202,0.0121612563,0.0218907763,0.0004792061,0.555542487,0.64
45,157,0.0121612561,0.0218907759,0.0004792061,0.5555424873,0.49
46,83,0.012161233,0.0218907332,0.0004792042,0.555542514,0.25
47,145,0.0121612549,0.0218907736,0.000479206,0.5555424887,0.44
48,373,0.0121612552,0.0218907743,0.000479206,0.5555424883,1.12
49,155,0.0121612559,0.0218907755,0.0004792061,0.5555424875,0.46
50,153,0.0121276789,0.0218266022,0.0004764006,0.5556375077,0.49
