,SCMA,EMTK,NCKL,UNVR,INKP,BBRI,MAPI,TLKM,BMRI,AADI
SCMA,0.0020682095225181135,0.0014358840507961374,0.0004704930861322575,0.00029347235057364246,0.0005228154438948162,0.00015084096260389984,0.0002616178403629944,0.0002030499104966002,0.00015687145106030515,0.00032004382902079504
EMTK,0.0014358840507961374,0.002068466670959856,0.0005238765939002944,0.00029071402802134644,0.0004805812993911391,0.00020129466741846997,0.00029180461724472706,0.0002921802453869185,0.00025633294379709843,0.00025291285226236473
NCKL,0.0004704930861322575,0.0005238765939002944,0.00124562587803487,0.00031979637097553063,0.0005079619110585729,0.00015317559886517056,0.0003420107131623994,0.00017344698192587208,0.0001739402357808323,0.00024285891543241548
UNVR,0.00029347235057364246,0.00029071402802134644,0.00031979637097553063,0.0012035650720760636,0.0003438672489363776,0.00021353921300691777,0.00020971862943356418,0.0001661687163334447,0.00022486386795429292,0.00017020197105866662
INKP,0.0005228154438948162,0.0004805812993911391,0.0005079619110585729,0.0003438672489363776,0.0011722141871072774,0.00021770232133318124,0.0002746069534723541,0.00023026246068890032,0.0002212071430479891,0.0002327730541106765
BBRI,0.00015084096260389984,0.00020129466741846997,0.00015317559886517056,0.00021353921300691777,0.00021770232133318124,0.0004792724018102121,0.00020010078547756752,0.0001837309180701801,0.0003618483908125018,0.00013154976143829714
MAPI,0.0002616178403629944,0.00029180461724472706,0.0003420107131623994,0.00020971862943356418,0.0002746069534723541,0.00020010078547756752,0.000967192751544244,0.00019304926517329547,0.00020435654195669517,0.00018049061182213018
TLKM,0.0002030499104966002,0.0002921802453869185,0.00017344698192587208,0.0001661687163334447,0.00023026246068890032,0.0001837309180701801,0.00019304926517329547,0.0006297596676522942,0.00024060561284928265,0.00012171468756895667
BMRI,0.00015687145106030515,0.00025633294379709843,0.0001739402357808323,0.00022486386795429292,0.0002212071430479891,0.0003618483908125018,0.00020435654195669517,0.00024060561284928265,0.0005155855608420681,0.00015975624562321417
AADI,0.00032004382902079504,0.00025291285226236473,0.00024285891543241548,0.00017020197105866662,0.0002327730541106765,0.00013154976143829714,0.00018049061182213018,0.00012171468756895667,0.00015975624562321417,0.0010935682178118112
