t,Iteration,Lambda,Best Objective Value,SCMA,EMTK,NCKL,UNVR,INKP,BBRI,MAPI,TLKM,BMRI,AADI,mupt,sigmapt,varpt,rasio
0.00100,766,63.24554,-0.27968,0.02515,0.00000,0.05849,0.07198,0.01878,0.28456,0.09289,0.22076,0.09536,0.13202,0.00611,0.01672,0.00028,0.36536
0.01100,223,19.06912,-0.02545,0.00000,0.00000,0.07201,0.07776,0.00000,0.29359,0.09688,0.22832,0.09295,0.13849,0.00583,0.01677,0.00028,0.34761
0.02100,148,13.80105,-0.01328,0.04089,0.00000,0.00000,0.08679,0.00000,0.29863,0.11061,0.22905,0.09478,0.13925,0.00601,0.01686,0.00028,0.35681
0.03100,334,11.35886,-0.00869,0.00000,0.00000,0.06882,0.07843,0.02562,0.29999,0.09488,0.22072,0.07876,0.13277,0.00595,0.01676,0.00028,0.35484
0.04100,290,9.87680,-0.00631,0.03891,0.00000,0.06952,0.08068,0.00000,0.31000,0.09276,0.21473,0.06958,0.12381,0.00653,0.01675,0.00028,0.38970
0.05100,170,8.85553,-0.00485,0.04488,0.00000,0.07387,0.08674,0.00000,0.35927,0.09378,0.22015,0.00000,0.12132,0.00693,0.01683,0.00028,0.41157
0.06100,169,8.09702,-0.00379,0.05096,0.00000,0.07466,0.08931,0.01064,0.35957,0.09166,0.20962,0.00000,0.11358,0.00710,0.01686,0.00028,0.42113
0.07100,161,7.50500,-0.00299,0.06137,0.00000,0.08135,0.09436,0.00000,0.35285,0.08999,0.19754,0.01756,0.10498,0.00729,0.01690,0.00029,0.43127
0.08100,132,7.02629,-0.00234,0.07155,0.00000,0.08658,0.10030,0.00000,0.36818,0.08855,0.18867,0.00000,0.09617,0.00761,0.01701,0.00029,0.44754
0.09100,199,6.62882,-0.00179,0.08314,0.00000,0.09210,0.10619,0.00000,0.37205,0.08628,0.17499,0.00000,0.08524,0.00791,0.01714,0.00029,0.46159
